candidate_id,profile,term,model,formula_source,input_summary,classical_bits,quantum_bits,proven_or_conjectural,multi_target_count,binding,notes
C10-fri,run:research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0.json;sha256:c0c7213e94b80eb267ae62ecaf24e3690cac7dd7edb5346049d8164136070256,batched-opening-proximity,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/assumption.rs:126-245; security/src/stark.rs:104-145,"{""dominant_term_only"":true,""field_bits"":120,""m"":3,""n_log2"":12,""num_batched_functions"":210,""rho"":0.125}",87.340828758,87.340828758,CONJECTURAL,2^0,true,"b = log2(|F|) - log2(2*(m+1/2)^5*n/(3*rho^(3/2))) - log2(num_functions-1) | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50. | Pinned implementation keeps only the BCHKS25 dominant term; documented subdominant terms are omitted as negligible."
C10-fri,run:research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0.json;sha256:c0c7213e94b80eb267ae62ecaf24e3690cac7dd7edb5346049d8164136070256,challenge-field-ceiling,ldr,"Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: uni-stark/src/security.rs:174-183,244-279,283-349","{""challenge_field_bits"":120,""extension_field_bits"":124}",120.0,120.0,CONJECTURAL,2^0,false,b <= conservative challenge-field budget
C10-fri,run:research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0.json;sha256:c0c7213e94b80eb267ae62ecaf24e3690cac7dd7edb5346049d8164136070256,mmcs-binding,ldr,Manifest assumption; not derived by p3-security,"{""construction"":""KeccakPair512 manifest-assumed binding cap""}",128.0,128.0,CONJECTURAL,2^0,false,b <= stated MMCS binding security | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem.
C10-fri,run:research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0.json;sha256:64991e93b66d2d9ad3bc9583721a70460e186c6d6f98196f4c8b2458746908d2,air-random-linear-combination,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/air.rs:1-16,"{""field_bits"":120.0,""list_size"":742.0,""num_constraints"":1186}",100.252836329,100.252836329,CONJECTURAL,2^0,false,"b = log2(|F|) - log2(L+) - log2(num_constraints) | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
C10-fri,run:research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0.json;sha256:64991e93b66d2d9ad3bc9583721a70460e186c6d6f98196f4c8b2458746908d2,deep-ali,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/deep.rs:1-28,"{""field_bits"":120.0,""k"":512,""list_size"":742.0,""max_combo"":2,""max_constraint_degree"":7}",98.462612847,98.462612847,CONJECTURAL,2^0,false,"b = log2(|F|) - log2(L+) - log2(max_deg*(k+max_combo-1)+(k-1)) | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
C10-fri,run:research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0.json;sha256:64991e93b66d2d9ad3bc9583721a70460e186c6d6f98196f4c8b2458746908d2,fri-query-phase,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/fri.rs:196-202,"{""alpha"":0.25067567567567567,""configured_grinding_bits"":16,""num_queries"":32}",79.875394685,71.875394685,CONJECTURAL,2^0,false,"b = -num_queries*log2(alpha) + grinding | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
C10-fri,run:research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0.json;sha256:64991e93b66d2d9ad3bc9583721a70460e186c6d6f98196f4c8b2458746908d2,fri-commit-phase,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/fri.rs:145-193; ePrint 2025/2055 Thm. 4.2,"{""alpha"":0.25067567567567567,""bchks25_base_bits"":63.908585618,""configured_grinding_bits"":16,""gamma"":0.7493243243243244,""m"":185,""n"":8192,""n_over_q_base_bits"":95.464548524,""rho"":0.0625}",79.908585618,71.908585618,CONJECTURAL,2^0,false,"b = min(BCHKS25 linear bound, 2024/1553 n/q bound) + grinding | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
C10-fri,run:research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0.json;sha256:64991e93b66d2d9ad3bc9583721a70460e186c6d6f98196f4c8b2458746908d2,batched-opening-proximity,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/assumption.rs:126-245; security/src/stark.rs:104-145,"{""dominant_term_only"":true,""field_bits"":120,""m"":185,""n_log2"":13,""num_batched_functions"":210,""rho"":0.0625}",56.201226486,56.201226486,CONJECTURAL,2^0,true,"b = log2(|F|) - log2(2*(m+1/2)^5*n/(3*rho^(3/2))) - log2(num_functions-1) | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50. | Pinned implementation keeps only the BCHKS25 dominant term; documented subdominant terms are omitted as negligible."
C10-fri,run:research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0.json;sha256:64991e93b66d2d9ad3bc9583721a70460e186c6d6f98196f4c8b2458746908d2,challenge-field-ceiling,ldr,"Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: uni-stark/src/security.rs:174-183,244-279,283-349","{""challenge_field_bits"":120,""extension_field_bits"":124}",120.0,120.0,CONJECTURAL,2^0,false,b <= conservative challenge-field budget
C10-fri,run:research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0.json;sha256:64991e93b66d2d9ad3bc9583721a70460e186c6d6f98196f4c8b2458746908d2,mmcs-binding,ldr,Manifest assumption; not derived by p3-security,"{""construction"":""KeccakPair512 manifest-assumed binding cap""}",128.0,128.0,CONJECTURAL,2^0,false,b <= stated MMCS binding security | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem.
C10-fri,run:research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0.json;sha256:1990c5973efbd38678c72ff18f6aa2104a474483a9f3fcfba615e299ac5dfc8f,air-random-linear-combination,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/air.rs:1-16,"{""field_bits"":120.0,""list_size"":22.0,""num_constraints"":1186}",105.328680087,105.328680087,CONJECTURAL,2^0,false,"b = log2(|F|) - log2(L+) - log2(num_constraints) | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
C10-fri,run:research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0.json;sha256:1990c5973efbd38678c72ff18f6aa2104a474483a9f3fcfba615e299ac5dfc8f,deep-ali,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/deep.rs:1-28,"{""field_bits"":120.0,""k"":512,""list_size"":22.0,""max_combo"":2,""max_constraint_degree"":7}",103.538456605,103.538456605,CONJECTURAL,2^0,false,"b = log2(|F|) - log2(L+) - log2(max_deg*(k+max_combo-1)+(k-1)) | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
C10-fri,run:research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0.json;sha256:1990c5973efbd38678c72ff18f6aa2104a474483a9f3fcfba615e299ac5dfc8f,fri-query-phase,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/fri.rs:196-202,"{""alpha"":0.275,""configured_grinding_bits"":16,""num_queries"":48}",105.39983086,97.39983086,CONJECTURAL,2^0,false,"b = -num_queries*log2(alpha) + grinding | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
C10-fri,run:research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0.json;sha256:1990c5973efbd38678c72ff18f6aa2104a474483a9f3fcfba615e299ac5dfc8f,fri-commit-phase,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/fri.rs:145-193; ePrint 2025/2055 Thm. 4.2,"{""alpha"":0.275,""bchks25_base_bits"":89.287697233,""configured_grinding_bits"":16,""gamma"":0.725,""m"":5,""n"":8192,""n_over_q_base_bits"":100.540392282,""rho"":0.0625}",105.287697233,97.287697233,CONJECTURAL,2^0,false,"b = min(BCHKS25 linear bound, 2024/1553 n/q bound) + grinding | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50."
C10-fri,run:research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0.json;sha256:1990c5973efbd38678c72ff18f6aa2104a474483a9f3fcfba615e299ac5dfc8f,batched-opening-proximity,ldr,Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: security/src/assumption.rs:126-245; security/src/stark.rs:104-145,"{""dominant_term_only"":true,""field_bits"":120,""m"":5,""n_log2"":13,""num_batched_functions"":210,""rho"":0.0625}",81.580445275,81.580445275,CONJECTURAL,2^0,true,"b = log2(|F|) - log2(2*(m+1/2)^5*n/(3*rho^(3/2))) - log2(num_functions-1) | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50. | Pinned implementation keeps only the BCHKS25 dominant term; documented subdominant terms are omitted as negligible."
C10-fri,run:research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0.json;sha256:1990c5973efbd38678c72ff18f6aa2104a474483a9f3fcfba615e299ac5dfc8f,challenge-field-ceiling,ldr,"Plonky3 3152b14a89067c83775a8076cc262ffc48a1fd7c: uni-stark/src/security.rs:174-183,244-279,283-349","{""challenge_field_bits"":120,""extension_field_bits"":124}",120.0,120.0,CONJECTURAL,2^0,false,b <= conservative challenge-field budget
C10-fri,run:research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0.json;sha256:1990c5973efbd38678c72ff18f6aa2104a474483a9f3fcfba615e299ac5dfc8f,mmcs-binding,ldr,Manifest assumption; not derived by p3-security,"{""construction"":""KeccakPair512 manifest-assumed binding cap""}",128.0,128.0,CONJECTURAL,2^0,false,b <= stated MMCS binding security | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem.
C20,run:research-sp51-c20-native-r0;artifact:research/runs/research-sp51-c20-native-r0.json;sha256:27ac00caee1ca7cdb5b8643ade135997c1d2fc8c32bd4903fa8d402212afd352,query-round,upstream conditional security report,,target_bits=32,34.39559486801828,34.39559486801828,PROVEN,,true,Upstream diagnostic base case only; not end-to-end PQTC.
C00/v03-baseline,run:v03-corpus-01;artifact:research/runs/v03-corpus-01.json;sha256:7de3a5a3b01e09ec06e9394ff4e46c9f5a3ca1adbec619a81f236c8f7561b69f,FRI random-words,random-words,research/security-model/v03-q32.json,,107,107,CONJECTURAL,,false,"Exact generated classical result: 107.997888224 bits | Exact generated quantum result: 107.997888224 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | Random-words does not model the batched-opening proximity term; num_batched_functions is ignored by the pinned conjectural path. Actual num_batched_functions=210; this result is optimistic. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
C00/v03-baseline,run:v03-corpus-01;artifact:research/runs/v03-corpus-01.json;sha256:7de3a5a3b01e09ec06e9394ff4e46c9f5a3ca1adbec619a81f236c8f7561b69f,FRI list-decoding regime,ldr,research/security-model/v03-q32.json,,56,56,PROVEN,,true,"Exact generated classical result: 56.201226486 bits | Exact generated quantum result: 56.201226486 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | Pinned implementation keeps only the BCHKS25 dominant term; documented subdominant terms are omitted as negligible. | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
C00/v03-baseline,run:v03-corpus-01;artifact:research/runs/v03-corpus-01.json;sha256:7de3a5a3b01e09ec06e9394ff4e46c9f5a3ca1adbec619a81f236c8f7561b69f,FRI unique-decoding regime,udr,research/security-model/v03-q32.json,,45,37,PROVEN,,false,"Exact generated classical result: 45.190582247 bits | Exact generated quantum result: 37.190582247 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
C00/v03-baseline,run:v03-corpus-02;artifact:research/runs/v03-corpus-02.json;sha256:d4fadf4db1338135df671adc937813c3db1b3bb60ca175b14e0a86a4525b0730,FRI random-words,random-words,research/security-model/v03-q32.json,,107,107,CONJECTURAL,,false,"Exact generated classical result: 107.997888224 bits | Exact generated quantum result: 107.997888224 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | Random-words does not model the batched-opening proximity term; num_batched_functions is ignored by the pinned conjectural path. Actual num_batched_functions=210; this result is optimistic. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
C00/v03-baseline,run:v03-corpus-02;artifact:research/runs/v03-corpus-02.json;sha256:d4fadf4db1338135df671adc937813c3db1b3bb60ca175b14e0a86a4525b0730,FRI list-decoding regime,ldr,research/security-model/v03-q32.json,,56,56,PROVEN,,true,"Exact generated classical result: 56.201226486 bits | Exact generated quantum result: 56.201226486 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | Pinned implementation keeps only the BCHKS25 dominant term; documented subdominant terms are omitted as negligible. | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
C00/v03-baseline,run:v03-corpus-02;artifact:research/runs/v03-corpus-02.json;sha256:d4fadf4db1338135df671adc937813c3db1b3bb60ca175b14e0a86a4525b0730,FRI unique-decoding regime,udr,research/security-model/v03-q32.json,,45,37,PROVEN,,false,"Exact generated classical result: 45.190582247 bits | Exact generated quantum result: 37.190582247 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
C00/v03-baseline,run:v03-corpus-03;artifact:research/runs/v03-corpus-03.json;sha256:518be01c67a084467baf64388d28522d77ac43d3afbf7b495abe5265b29e6842,FRI random-words,random-words,research/security-model/v03-q32.json,,107,107,CONJECTURAL,,false,"Exact generated classical result: 107.997888224 bits | Exact generated quantum result: 107.997888224 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | Random-words does not model the batched-opening proximity term; num_batched_functions is ignored by the pinned conjectural path. Actual num_batched_functions=210; this result is optimistic. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
C00/v03-baseline,run:v03-corpus-03;artifact:research/runs/v03-corpus-03.json;sha256:518be01c67a084467baf64388d28522d77ac43d3afbf7b495abe5265b29e6842,FRI list-decoding regime,ldr,research/security-model/v03-q32.json,,56,56,PROVEN,,true,"Exact generated classical result: 56.201226486 bits | Exact generated quantum result: 56.201226486 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | Pinned implementation keeps only the BCHKS25 dominant term; documented subdominant terms are omitted as negligible. | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
C00/v03-baseline,run:v03-corpus-03;artifact:research/runs/v03-corpus-03.json;sha256:518be01c67a084467baf64388d28522d77ac43d3afbf7b495abe5265b29e6842,FRI unique-decoding regime,udr,research/security-model/v03-q32.json,,45,37,PROVEN,,false,"Exact generated classical result: 45.190582247 bits | Exact generated quantum result: 37.190582247 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
C00/v03-baseline,run:v03-corpus-04;artifact:research/runs/v03-corpus-04.json;sha256:b28d33a08403cba3e12b14cc79e7ce339a8b2da0ee1e967827e1885a2d97efff,FRI random-words,random-words,research/security-model/v03-q32.json,,107,107,CONJECTURAL,,false,"Exact generated classical result: 107.997888224 bits | Exact generated quantum result: 107.997888224 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | Random-words does not model the batched-opening proximity term; num_batched_functions is ignored by the pinned conjectural path. Actual num_batched_functions=210; this result is optimistic. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
C00/v03-baseline,run:v03-corpus-04;artifact:research/runs/v03-corpus-04.json;sha256:b28d33a08403cba3e12b14cc79e7ce339a8b2da0ee1e967827e1885a2d97efff,FRI list-decoding regime,ldr,research/security-model/v03-q32.json,,56,56,PROVEN,,true,"Exact generated classical result: 56.201226486 bits | Exact generated quantum result: 56.201226486 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | Pinned implementation keeps only the BCHKS25 dominant term; documented subdominant terms are omitted as negligible. | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
C00/v03-baseline,run:v03-corpus-04;artifact:research/runs/v03-corpus-04.json;sha256:b28d33a08403cba3e12b14cc79e7ce339a8b2da0ee1e967827e1885a2d97efff,FRI unique-decoding regime,udr,research/security-model/v03-q32.json,,45,37,PROVEN,,false,"Exact generated classical result: 45.190582247 bits | Exact generated quantum result: 37.190582247 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
C00/v03-baseline,run:v03-corpus-05;artifact:research/runs/v03-corpus-05.json;sha256:a4b1be8b4a75c4b30b7d8fe1fd32018d1e73667e24a48386f0c7e70c90c2d26e,FRI random-words,random-words,research/security-model/v03-q32.json,,107,107,CONJECTURAL,,false,"Exact generated classical result: 107.997888224 bits | Exact generated quantum result: 107.997888224 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | Random-words does not model the batched-opening proximity term; num_batched_functions is ignored by the pinned conjectural path. Actual num_batched_functions=210; this result is optimistic. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
C00/v03-baseline,run:v03-corpus-05;artifact:research/runs/v03-corpus-05.json;sha256:a4b1be8b4a75c4b30b7d8fe1fd32018d1e73667e24a48386f0c7e70c90c2d26e,FRI list-decoding regime,ldr,research/security-model/v03-q32.json,,56,56,PROVEN,,true,"Exact generated classical result: 56.201226486 bits | Exact generated quantum result: 56.201226486 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | Pinned implementation keeps only the BCHKS25 dominant term; documented subdominant terms are omitted as negligible. | Requires mutual correlated agreement up to the Johnson bound, as stated by pinned security/src/assumption.rs:45-50. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
C00/v03-baseline,run:v03-corpus-05;artifact:research/runs/v03-corpus-05.json;sha256:a4b1be8b4a75c4b30b7d8fe1fd32018d1e73667e24a48386f0c7e70c90c2d26e,FRI unique-decoding regime,udr,research/security-model/v03-q32.json,,45,37,PROVEN,,false,"Exact generated classical result: 45.190582247 bits | Exact generated quantum result: 37.190582247 bits | Already included in fri-commit-phase; informational row, not an independent binding term. | Already included in fri-query-phase; informational row, not an independent binding term. | This generic cap is not a structural analysis or a complete Fiat-Shamir/QROM composition theorem."
